run_timestamp,read_time,hand,esp_time_ms,palm_ax_prox,palm_ay_prox,palm_az_prox,palm_yaw_prox,palm_pitch_prox,palm_roll_prox,palm_flex_mcp,palm_flex_pip,palm_yaw_mid,palm_pitch_mid,palm_roll_mid,palm_ax_mid,palm_ay_mid,palm_az_mid,thumb_ax_prox,thumb_ay_prox,thumb_az_prox,thumb_yaw_prox,thumb_flex_mcp,thumb_flex_pip,thumb_yaw_mid,thumb_pitch_mid,thumb_roll_mid,thumb_ax_mid,thumb_ay_mid,thumb_az_mid,index_ax_prox,index_ay_prox,index_az_prox,index_yaw_prox,index_pitch_prox,index_roll_prox,index_flex_mcp,index_flex_pip,index_yaw_mid,index_pitch_mid,index_roll_mid,index_ax_mid,index_ay_mid,index_az_mid,middle_ax_prox,middle_ay_prox,middle_az_prox,middle_yaw_prox,middle_pitch_prox,middle_roll_prox,middle_flex_mcp,middle_flex_pip,middle_yaw_mid,middle_pitch_mid,middle_roll_mid,middle_ax_mid,middle_ay_mid,middle_az_mid,ring_ax_prox,ring_ay_prox,ring_az_prox,ring_yaw_prox,ring_pitch_prox,ring_roll_prox,ring_flex_mcp,ring_flex_pip,ring_yaw_mid,ring_pitch_mid,ring_roll_mid,ring_ax_mid,ring_ay_mid,ring_az_mid,pinky_ax_prox,pinky_ay_prox,pinky_az_prox,pinky_yaw_prox,pinky_pitch_prox,pinky_roll_prox,pinky_flex_mcp,pinky_flex_pip,pinky_yaw_mid,pinky_pitch_mid,pinky_roll_mid,pinky_ax_mid,pinky_ay_mid,pinky_az_mid,thumb_pitch_prox,thumb_roll_prox,index_pitch_mi,index_pll_mid,index_yaw_mi,index_ay_p,index_pitl_mid,thumb_lex_mcp,thumb_ox,thumb_d
2026-04-01 20:27:16,2026-04-01 20:27:23,Left,39500,-0.00,-0.00,-0.00,0.01,0.00,-0.00,0,0,0.02,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,2133,2093,0.02,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.01,0.00,-0.00,984,2151,0.02,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.01,0.00,-0.00,95,2089,0.02,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.01,0.00,-0.00,2165,2193,0.02,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.01,0.00,-0.00,1413,1500,0.02,0.00,-0.00,-0.00,0.00,-0.00,,,,,,,,,,
2026-04-01 20:27:16,2026-04-01 20:27:24,Left,40095,-0.00,-0.00,0.00,0.04,-0.00,-0.00,0,0,0.02,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,2133,2093,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,983,2150,0.03,,,0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.01,-0.00,0.00,2164,2196,0.01,0.00,-0.00,-0.00,0.00,-0.00,,,,,,,,,,,,,,,0.00,0.00,0.01,0.01,0.00,-0.00,1415,1503,0.02,0.00,-0.00,0.00,0.00,-0.01,0.00,0.00,0.00,,,,,,,
2026-04-01 20:27:16,2026-04-01 20:27:24,Left,40681,-0.00,0.00,-0.00,0.01,0.00,-0.00,0,0,0.02,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.01,2135,2093,0.02,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.01,0.00,-0.00,981,2151,0.02,,,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.01,0.00,-0.00,99,2089,0.02,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.01,0.00,-0.00,2165,2196,0.02,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.01,0.00,-0.00,1419,1499,0.02,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,,-0.00,,,,,,
2026-04-01 20:27:16,2026-04-01 20:27:26,Left,42065,-0.01,0.00,-0.00,0.04,-0.00,0.00,0,0,0.02,0.00,-0.00,0.00,0.01,-0.00,-0.00,0.00,-0.01,-0.01,2135,2093,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.03,0.00,0.00,981,2152,0.03,-0.00,0.00,-0.00,0.00,-0.01,-0.00,0.00,0.00,-0.01,-0.00,0.00,95,2087,-0.02,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.01,0.01,0.00,-0.00,2159,2190,0.01,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.01,0.00,0.00,1416,1501,0.02,0.00,-0.00,0.00,0.00,-0.00,0.0,,,,,,,,,
2026-04-01 20:27:16,2026-04-01 20:27:26,Left,42257,0.00,-0.00,0.00,0.01,0.00,0.00,0,0,0.02,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.01,2135,2095,0.02,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.01,0.00,0.00,985,2153,,,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.01,0.00,0.00,95,2089,0.02,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.01,0.00,0.00,2167,2191,0.02,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.01,0.00,0.00,1415,1501,0.02,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,,0.00,,,,,
2026-04-01 20:27:16,2026-04-01 20:27:26,Left,42651,-0.00,0.01,-0.00,0.01,0.00,0.00,0,0,0.02,0.00,-0.00,0.00,-0.00,-0.01,-0.00,0.01,-0.00,0.01,2133,2093,0.02,0.00,-0.00,0.00,-0.00,-0.01,-0.00,0.01,-0.00,0.01,0.00,0.00,983,2148,0.02,0.00,-0.00,0.00,-0.00,-0.01,-0.00,0.01,-0.00,0.01,0.00,0.00,99,2089,0.02,0.00,-0.00,0.00,-0.00,-0.01,-0.00,0.01,-0.00,0.01,0.00,0.00,2168,2197,0.02,0.00,-0.00,0.00,-0.00,-0.01,-0.00,0.01,-0.00,0.01,0.00,0.00,1415,1501,0.02,0.00,-0.00,0.00,-0.00,-0.01,0.00,0.00,,,,,,,,
2026-04-01 20:27:16,2026-04-01 20:27:26,Left,42851,-0.00,0.00,-0.00,0.04,-0.00,-0.00,0,0,0.02,0.00,-0.00,0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.01,2134,2094,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,,,,,0.00,984,2155,0.03,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.01,-0.00,0.00,95,2089,-0.02,-0.00,-0.00,0.00,-0.00,-0.01,-0.00,0.00,0.00,0.01,0.00,0.00,2165,2195,0.01,0.00,-0.00,-0.00,0.00,-0.01,-0.00,-0.00,0.00,0.01,0.00,0.00,1415,1499,0.02,0.00,-0.00,-0.01,0.00,-0.00,0.00,0.00,,,,0.00,,,,
2026-04-01 20:27:16,2026-04-01 20:27:27,Left,43246,0.00,-0.00,-0.00,0.04,-0.00,-0.00,0,0,0.02,0.00,-0.00,-0.01,0.00,-0.00,-0.00,0.00,-0.00,-0.01,2135,2094,0.00,0.00,-0.00,0.00,0.00,0.00,-0.01,-0.00,0.00,0.03,0.00,0.00,984,2153,0.03,,,0.00,-0.00,-0.00,0.00,-0.00,0.01,-0.01,-0.00,0.00,95,2091,-0.02,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,0.00,0.01,0.00,0.00,2167,2195,0.01,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.01,0.00,0.00,1415,1500,0.02,0.00,-0.00,-0.00,0.00,-0.01,0.00,0.00,,,,,0.00,,,
2026-04-01 20:27:16,2026-04-01 20:27:27,Left,43639,0.00,-0.00,0.00,0.04,-0.00,-0.00,0,0,0.02,0.00,-0.00,-0.00,0.00,-0.01,-0.00,-0.00,-0.00,-0.01,2136,2095,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00,0.00,0.03,0.00,0.00,984,2153,0.03,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.01,-0.00,0.00,84,2088,-0.02,-0.00,-0.00,-0.00,-0.00,-0.01,0.01,-0.00,0.00,0.01,0.00,0.00,2167,2194,0.01,0.00,-0.00,0.00,-0.00,-0.01,0.00,-0.00,0.00,0.01,0.00,0.00,1415,1500,0.02,0.00,-0.00,0.00,0.00,0.01,.00,,,,,,,,,
2026-04-01 20:27:16,2026-04-01 20:27:28,Left,44224,0.00,0.00,0.01,0.01,0.00,0.00,0,0,0.02,0.00,-0.00,-0.00,0.01,-0.00,0.00,0.00,0.01,0.01,,2093,0.02,0.00,-0.00,-0.00,0.01,-0.00,0.00,0.00,0.01,0.01,0.00,0.00,93,2087,0.02,0.00,-0.00,-0.00,0.01,-0.00,,,,,,,,,,,,,,,0.00,0.00,0.01,0.01,0.00,0.00,2166,2195,0.02,0.00,-0.00,-0.00,0.01,-0.00,0.00,0.00,0.01,0.01,0.00,0.00,1414,1501,0.02,0.00,-0.00,-0.00,0.01,-0.00,0.00,,,,,,,2136,,
2026-04-01 20:27:16,2026-04-01 20:27:28,Left,44424,-0.00,-0.00,-0.01,0.04,-0.00,0.00,0,0,0.02,0.00,-0.00,-0.00,0.01,-0.00,0.00,0.00,-0.00,-0.01,2135,2093,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,00,,,,983,2153,0.03,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.01,-0.00,0.00,95,2089,-0.02,-0.00,-0.00,-0.00,0.01,-0.00,0.00,-0.00,-0.00,0.01,0.00,0.00,2167,2195,0.01,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.01,0.00,0.00,1415,1501,0.02,0.00,-0.00,0.00,0.01,-0.00,0.00,0.00,,,,,,,,
2026-04-01 20:27:16,2026-04-01 20:27:29,Left,45010,0.00,-0.00,-0.00,0.01,0.00,0.00,0,0,0.02,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.01,2135,2093,0.02,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,-00,,,0.00,982,2155,0.02,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.01,0.00,0.00,94,2091,0.02,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.01,0.00,0.00,2167,2196,0.02,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.01,0.00,0.00,1415,1499,0.02,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,,,,,,,
2026-04-01 20:27:16,2026-04-01 20:27:29,Left,45403,0.00,0.00,0.00,0.01,0.00,0.00,0,0,0.02,0.00,-0.00,0.01,-0.00,0.00,0.00,0.00,0.00,0.01,2135,2101,0.02,0.00,-0.00,0.01,-0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,982,2155,0.02,0.00,-0.00,0.01,-0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,91,2089,0.02,0.00,-0.00,0.01,-0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,2167,2196,0.02,0.00,-0.00,0.01,-0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,1415,1499,0.02,0.00,-0.00,0.01,-0.00,0.00,0.00,0.00,,,,,,,,
2026-04-01 20:27:16,2026-04-01 20:27:29,Left,45601,-0.00,-0.00,-0.01,0.04,-0.00,-0.00,0,0,0.02,0.00,-0.00,0.01,-0.00,0.00,-0.00,0.01,0.00,0.03,983,2152,0.03,-0.00,0.00,0.00,-0.00,0.01,,,,,,,,,,,,,,,0.00,-0.00,-0.00,-0.01,-0.00,0.00,93,2089,-0.02,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.01,0.00,0.00,2165,2195,0.01,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,0.00,0.00,1415,1500,0.02,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,,,,,,-0.00,
2026-04-01 20:27:16,2026-04-01 20:27:29,Left,45794,-0.00,0.00,0.00,0.01,0.00,0.00,0,0,0.02,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,,,,,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,0.00,0.00,983,2153,0.02,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,0.00,0.00,92,2091,0.02,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,0.00,0.00,2167,2196,0.02,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.01,0.00,0.00,1415,1499,0.02,0.00,-0.00,0.00,0.00,0.00,0.00,,,,,,,,,0.00
2026-04-01 20:27:16,2026-04-01 20:27:30,Left,46185,-0.00,-0.00,-0.00,0.01,0.00,0.00,0,0,0.02,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.01,984,2151,0.02,0.00,-0.00,0.00,0.00,-0.00,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,0.01,0.00,0.00,95,2091,0.02,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.01,0.00,0.00,2168,2196,0.02,0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.01,0.00,0.00,1414,1501,0.02,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,,,,,,,
2026-04-01 20:27:16,2026-04-01 20:27:30,Left,46385,-0.00,-0.00,-0.01,0.04,-0.00,-0.00,0,0,0.02,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.01,2135,2093,-0.00,0.00,-0.00,-0.00,-0.00,-0.01,0.00,-0.00,0.00,0.03,0.00,0.00,984,2151,0.03,-0.00,0.00,0.00,-0.01,0.00,0.00,-0.00,-0.00,-0.01,-0.00,0.00,91,2090,-0.02,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.01,0.00,0.00,2167,2197,0.01,0.00,-0.00,0.01,-0.00,-0.00,0.00,0.00,0.00,0.01,0.00,0.00,1413,1501,0.02,0.00,-0.00,0.00,-0.00,0.00,.00,,,,,,,,,
